original,entrez,symbol,kegg
2626,C6orf182|285753,285753,C6orf182,hsa285753
2627,C6orf186|728464,728464,C6orf186,hsa728464
2628,C6orf191|253582,253582,C6orf191,hsa253582
2629,C6orf192|116843,116843,C6orf192,hsa116843
2630,C6orf195|154386,154386,C6orf195,hsa154386
2631,C6orf201|404220,404220,C6orf201,hsa404220
2632,C6orf203|51250,51250,C6orf203,hsa51250
2633,C6orf204|387119,387119,C6orf204,hsa387119
2634,C6orf208|80069,80069,C6orf208,hsa80069
2635,C6orf211|79624,79624,C6orf211,hsa79624
2636,C6orf217|100131814,100131814,C6orf217,hsa100131814
2637,C6orf218|221718,221718,C6orf218,hsa221718
2638,C6orf221|154288,154288,C6orf221,hsa154288
2639,C6orf222|389384,389384,C6orf222,hsa389384
2640,C6orf223|221416,221416,C6orf223,hsa221416
2641,C6orf225|619208,619208,C6orf225,hsa619208
2642,C6orf226|441150,441150,C6orf226,hsa441150
2643,C6orf227|401253,401253,C6orf227,hsa401253
2644,C6orf25|80739,80739,C6orf25,hsa80739
2645,C6orf26|401251,401251,C6orf26,hsa401251
2646,C6orf27|80737,80737,C6orf27,hsa80737
2647,C6orf35|729515,729515,C6orf35,hsa729515
2648,C6orf41|100133205,100133205,C6orf41,hsa100133205
2649,C6orf47|57827,57827,C6orf47,hsa57827
2650,C6orf48|50854,50854,C6orf48,hsa50854
2651,C6orf52|347744,347744,C6orf52,hsa347744
2652,C6orf57|135154,135154,C6orf57,hsa135154
2653,C6orf58|352999,352999,C6orf58,hsa352999
2654,C6orf59|79992,79992,C6orf59,hsa79992
2655,C6orf62|81688,81688,C6orf62,hsa81688
2656,C6orf64|55776,55776,C6orf64,hsa55776
2657,C6orf70|55780,55780,C6orf70,hsa55780
2658,C6orf72|116254,116254,C6orf72,hsa116254
2659,C6orf81|221481,221481,C6orf81,hsa221481
2660,C6orf89|221477,221477,C6orf89,hsa221477
2661,C6orf94|153918,153918,C6orf94,hsa153918
2662,C6orf97|80129,80129,C6orf97,hsa80129
2663,C7|730,730,C7,hsa730
2664,C7orf10|79783,79783,C7orf10,hsa79783
2665,C7orf11|136647,136647,C7orf11,hsa136647
2666,C7orf13|129790,129790,C7orf13,hsa129790
2667,C7orf16|10842,10842,C7orf16,hsa10842
2668,C7orf23|79161,79161,C7orf23,hsa79161
2669,C7orf25|79020,79020,C7orf25,hsa79020
2670,C7orf26|79034,79034,C7orf26,hsa79034
2671,C7orf27|221927,221927,C7orf27,hsa221927
2672,C7orf28A|51622,51622,C7orf28A,hsa51622
2673,C7orf28B|221960,221960,C7orf28B,hsa221960
2674,C7orf29|113763,113763,C7orf29,hsa113763
2675,C7orf30|115416,115416,C7orf30,hsa115416
2676,C7orf31|136895,136895,C7orf31,hsa136895
2677,C7orf33|202865,202865,C7orf33,hsa202865
2678,C7orf34|135927,135927,C7orf34,hsa135927
2679,C7orf36|57002,57002,C7orf36,hsa57002
2680,C7orf40|285958,285958,C7orf40,hsa285958
2681,C7orf41|222166,222166,C7orf41,hsa222166
2682,C7orf42|55069,55069,C7orf42,hsa55069
2683,C7orf43|55262,55262,C7orf43,hsa55262
2684,C7orf44|55744,55744,C7orf44,hsa55744
2685,C7orf45|136263,136263,C7orf45,hsa136263
2686,C7orf46|340277,340277,C7orf46,hsa340277
2687,C7orf4|64433,64433,C7orf4,hsa64433
2688,C7orf47|221908,221908,C7orf47,hsa221908
2689,C7orf49|78996,78996,C7orf49,hsa78996
2690,C7orf50|84310,84310,C7orf50,hsa84310
2691,C7orf51|222950,222950,C7orf51,hsa222950
2692,C7orf52|375607,375607,C7orf52,hsa375607
2693,C7orf53|286006,286006,C7orf53,hsa286006
2694,C7orf54|27099,27099,C7orf54,hsa27099
2695,C7orf55|154791,154791,C7orf55,hsa154791
2696,C7orf57|136288,136288,C7orf57,hsa136288
2697,C7orf58|79974,79974,C7orf58,hsa79974
2698,C7orf59|389541,389541,C7orf59,hsa389541
2699,C7orf60|154743,154743,C7orf60,hsa154743
2700,C7orf61|402573,402573,C7orf61,hsa402573
2701,C7orf63|79846,79846,C7orf63,hsa79846
2702,C7orf64|84060,84060,C7orf64,hsa84060
2703,C7orf65|401335,401335,C7orf65,hsa401335
2704,C7orf66|154907,154907,C7orf66,hsa154907
2705,C7orf68|29923,29923,C7orf68,hsa29923
2706,C7orf69|80099,80099,C7orf69,hsa80099
2707,C7orf70|84792,84792,C7orf70,hsa84792
2708,C7orf71|285941,285941,C7orf71,hsa285941
2709,C7orf72|100130988,100130988,C7orf72,hsa100130988
2710,C8A|731,731,C8A,hsa731
2711,C8B|732,732,C8B,hsa732
2712,C8G|733,733,C8G,hsa733
2713,C8orf12|83656,83656,C8orf12,hsa83656
2714,C8orf22|492307,492307,C8orf22,hsa492307
2715,C8orf30A|51236,51236,C8orf30A,hsa51236
2716,C8orf31|286122,286122,C8orf31,hsa286122
2717,C8orf33|65265,65265,C8orf33,hsa65265
2718,C8orf34|116328,116328,C8orf34,hsa116328
2719,C8orf37|157657,157657,C8orf37,hsa157657
2720,C8orf38|137682,137682,C8orf38,hsa137682
2721,C8orf39|55472,55472,C8orf39,hsa55472
2722,C8orf40|114926,114926,C8orf40,hsa114926
2723,C8orf41|80185,80185,C8orf41,hsa80185
2724,C8orf42|157695,157695,C8orf42,hsa157695
2725,C8orf44|56260,56260,C8orf44,hsa56260
2726,C8orf45|157777,157777,C8orf45,hsa157777
2727,C8orf4|56892,56892,C8orf4,hsa56892
2728,C8orf46|254778,254778,C8orf46,hsa254778
2729,C8orf47|203111,203111,C8orf47,hsa203111
2730,C8orf48|157773,157773,C8orf48,hsa157773
2731,C8orf51|78998,78998,C8orf51,hsa78998
2732,C8orf55|51337,51337,C8orf55,hsa51337
2733,C8orf56|157556,157556,C8orf56,hsa157556
2734,C8orf58|541565,541565,C8orf58,hsa541565
2735,C8orf59|401466,401466,C8orf59,hsa401466
2736,C8orf71|26138,26138,C8orf71,hsa26138
2737,C8orf73|642475,642475,C8orf73,hsa642475
2738,C8orf74|203076,203076,C8orf74,hsa203076
2739,C8orf75|619351,619351,C8orf75,hsa619351
2740,C8orf76|84933,84933,C8orf76,hsa84933
2741,C8orf77|286103,286103,C8orf77,hsa286103
2742,C8orf79|57604,57604,C8orf79,hsa57604
2743,C8orf80|389643,389643,C8orf80,hsa389643
2744,C8orf83|286144,286144,C8orf83,hsa286144
2745,C8orf84|157869,157869,C8orf84,hsa157869
2746,C8orf85|441376,441376,C8orf85,hsa441376
2747,C8orf86|389649,389649,C8orf86,hsa389649
2748,C8ORFK29|340393,340393,C8ORFK29,hsa340393
2749,C9|735,735,C9,hsa735
2750,C9orf100|84904,84904,C9orf100,hsa84904
2751,C9orf102|375748,375748,C9orf102,hsa375748
2752,C9orf103|414328,414328,C9orf103,hsa414328
2753,C9orf106|414318,414318,C9orf106,hsa414318
2754,C9orf109|286333,286333,C9orf109,hsa286333
2755,C9orf110|100128385,100128385,C9orf110,hsa100128385
2756,C9orf114|51490,51490,C9orf114,hsa51490
2757,C9orf11|54586,54586,C9orf11,hsa54586
2758,C9orf116|138162,138162,C9orf116,hsa138162
2759,C9orf117|286207,286207,C9orf117,hsa286207
2760,C9orf119|375757,375757,C9orf119,hsa375757
2761,C9orf122|158228,158228,C9orf122,hsa158228
2762,C9orf123|90871,90871,C9orf123,hsa90871
2763,C9orf125|84302,84302,C9orf125,hsa84302
2764,C9orf128|392307,392307,C9orf128,hsa392307
2765,C9orf129|445577,445577,C9orf129,hsa445577
2766,C9orf130|100128782,100128782,C9orf130,hsa100128782
2767,C9orf131|138724,138724,C9orf131,hsa138724
2768,C9orf135|138255,138255,C9orf135,hsa138255
2769,C9orf139|401563,401563,C9orf139,hsa401563
2770,C9orf140|89958,89958,C9orf140,hsa89958
2771,C9orf142|286257,286257,C9orf142,hsa286257
2772,C9orf144|389715,389715,C9orf144,hsa389715
2773,C9orf144B|259308,259308,C9orf144B,hsa259308
2774,C9orf150|286343,286343,C9orf150,hsa286343
2775,C9orf152|401546,401546,C9orf152,hsa401546
2776,C9orf153|389766,389766,C9orf153,hsa389766
2777,C9orf156|51531,51531,C9orf156,hsa51531
2778,C9orf163|158055,158055,C9orf163,hsa158055
2779,C9orf167|54863,54863,C9orf167,hsa54863
2780,C9orf16|79095,79095,C9orf16,hsa79095
2781,C9orf169|375791,375791,C9orf169,hsa375791
2782,C9orf170|401535,401535,C9orf170,hsa401535
2783,C9orf171|389799,389799,C9orf171,hsa389799
2784,C9orf172|389813,389813,C9orf172,hsa389813
2785,C9orf173|441476,441476,C9orf173,hsa441476
2786,C9orf21|195827,195827,C9orf21,hsa195827
2787,C9orf23|138716,138716,C9orf23,hsa138716
2788,C9orf24|84688,84688,C9orf24,hsa84688
2789,C9orf25|203259,203259,C9orf25,hsa203259
2790,C9orf27|58483,58483,C9orf27,hsa58483
2791,C9orf30|91283,91283,C9orf30,hsa91283
2792,C9orf37|85026,85026,C9orf37,hsa85026
2793,C9orf3|84909,84909,C9orf3,hsa84909
2794,C9orf40|55071,55071,C9orf40,hsa55071
2795,C9orf41|138199,138199,C9orf41,hsa138199
2796,C9orf4|23732,23732,C9orf4,hsa23732
2797,C9orf43|257169,257169,C9orf43,hsa257169
2798,C9orf44|158314,158314,C9orf44,hsa158314
2799,C9orf45|81571,81571,C9orf45,hsa81571
2800,C9orf46|55848,55848,C9orf46,hsa55848
2801,C9orf47|286223,286223,C9orf47,hsa286223
2802,C9orf50|375759,375759,C9orf50,hsa375759
2803,C9orf5|23731,23731,C9orf5,hsa23731
2804,C9orf53|51198,51198,C9orf53,hsa51198
2805,C9orf57|138240,138240,C9orf57,hsa138240
2806,C9orf64|84267,84267,C9orf64,hsa84267
2807,C9orf6|54942,54942,C9orf6,hsa54942
2808,C9orf66|157983,157983,C9orf66,hsa157983
2809,C9orf68|55064,55064,C9orf68,hsa55064
2810,C9orf69|90120,90120,C9orf69,hsa90120
2811,C9orf70|84850,84850,C9orf70,hsa84850
2812,C9orf7|11094,11094,C9orf7,hsa11094
2813,C9orf71|169693,169693,C9orf71,hsa169693
2814,C9orf72|203228,203228,C9orf72,hsa203228
2815,C9orf78|51759,51759,C9orf78,hsa51759
2816,C9orf79|286234,286234,C9orf79,hsa286234
2817,C9orf80|58493,58493,C9orf80,hsa58493
2818,C9orf82|79886,79886,C9orf82,hsa79886
2819,C9orf84|158401,158401,C9orf84,hsa158401
2820,C9orf85|138241,138241,C9orf85,hsa138241
2821,C9orf86|55684,55684,C9orf86,hsa55684
2822,C9orf89|84270,84270,C9orf89,hsa84270
2823,C9orf9|11092,11092,C9orf9,hsa11092
2824,C9orf91|203197,203197,C9orf91,hsa203197
2825,C9orf93|203238,203238,C9orf93,hsa203238
2826,C9orf95|54981,54981,C9orf95,hsa54981
2827,C9orf96|169436,169436,C9orf96,hsa169436
2828,C9orf98|158067,158067,C9orf98,hsa158067
2829,CA10|56934,56934,CA10,hsa56934
2830,CA11|770,770,CA11,hsa770
2831,CA12|771,771,CA12,hsa771
2832,CA13|377677,377677,CA13,hsa377677
2833,CA14|23632,23632,CA14,hsa23632
2834,CA1|759,759,CA1,hsa759
2835,CA2|760,760,CA2,hsa760
2836,CA3|761,761,CA3,hsa761
2837,CA4|762,762,CA4,hsa762
2838,CA5A|763,763,CA5A,hsa763
2839,CA5B|11238,11238,CA5B,hsa11238
2840,CA5BP|340591,340591,CA5BP,hsa340591
2841,CA6|765,765,CA6,hsa765
2842,CA7|766,766,CA7,hsa766
2843,CA8|767,767,CA8,hsa767
2844,CA9|768,768,CA9,hsa768
2845,CAB39|51719,51719,CAB39,hsa51719
2846,CAB39L|81617,81617,CAB39L,hsa81617
2847,CABC1|56997,56997,CABC1,hsa56997
2848,CABIN1|23523,23523,CABIN1,hsa23523
2849,CABLES1|91768,91768,CABLES1,hsa91768
2850,CABLES2|81928,81928,CABLES2,hsa81928
2851,CABP1|9478,9478,CABP1,hsa9478
2852,CABP2|51475,51475,CABP2,hsa51475
2853,CABP4|57010,57010,CABP4,hsa57010
2854,CABP5|56344,56344,CABP5,hsa56344
2855,CABP7|164633,164633,CABP7,hsa164633
2856,CABYR|26256,26256,CABYR,hsa26256
2857,CACHD1|57685,57685,CACHD1,hsa57685
2858,CACNA1A|773,773,CACNA1A,hsa773
2859,CACNA1B|774,774,CACNA1B,hsa774
2860,CACNA1C|775,775,CACNA1C,hsa775
2861,CACNA1D|776,776,CACNA1D,hsa776
2862,CACNA1E|777,777,CACNA1E,hsa777
2863,CACNA1F|778,778,CACNA1F,hsa778
2864,CACNA1G|8913,8913,CACNA1G,hsa8913
2865,CACNA1H|8912,8912,CACNA1H,hsa8912
2866,CACNA1I|8911,8911,CACNA1I,hsa8911
2867,CACNA1S|779,779,CACNA1S,hsa779
2868,CACNA2D1|781,781,CACNA2D1,hsa781
2869,CACNA2D2|9254,9254,CACNA2D2,hsa9254
2870,CACNA2D3|55799,55799,CACNA2D3,hsa55799
2871,CACNA2D4|93589,93589,CACNA2D4,hsa93589
2872,CACNB1|782,782,CACNB1,hsa782
2873,CACNB2|783,783,CACNB2,hsa783
2874,CACNB3|784,784,CACNB3,hsa784
2875,CACNB4|785,785,CACNB4,hsa785
2876,CACNG1|786,786,CACNG1,hsa786
2877,CACNG2|10369,10369,CACNG2,hsa10369
2878,CACNG3|10368,10368,CACNG3,hsa10368
2879,CACNG4|27092,27092,CACNG4,hsa27092
2880,CACNG5|27091,27091,CACNG5,hsa27091
2881,CACNG6|59285,59285,CACNG6,hsa59285
2882,CACNG7|59284,59284,CACNG7,hsa59284
2883,CACNG8|59283,59283,CACNG8,hsa59283
2884,CACYBP|27101,27101,CACYBP,hsa27101
2885,CAD|790,790,CAD,hsa790
2886,CADM1|23705,23705,CADM1,hsa23705
2887,CADM2|253559,253559,CADM2,hsa253559
2888,CADM3|57863,57863,CADM3,hsa57863
2889,CADM4|199731,199731,CADM4,hsa199731
2890,CADPS2|93664,93664,CADPS2,hsa93664
2891,CADPS|8618,8618,CADPS,hsa8618
2892,CAGE1|285782,285782,CAGE1,hsa285782
2893,CALB1|793,793,CALB1,hsa793
2894,CALB2|794,794,CALB2,hsa794
2895,CALCA|796,796,CALCA,hsa796
2896,CALCB|797,797,CALCB,hsa797
2897,CALCOCO1|57658,57658,CALCOCO1,hsa57658
2898,CALCOCO2|10241,10241,CALCOCO2,hsa10241
2899,CALCR|799,799,CALCR,hsa799
2900,CALCRL|10203,10203,CALCRL,hsa10203
2901,CALD1|800,800,CALD1,hsa800
2902,CALHM1|255022,255022,CALHM1,hsa255022
2903,CALHM2|51063,51063,CALHM2,hsa51063
2904,CALHM3|119395,119395,CALHM3,hsa119395
2905,CALM1|801,801,CALM1,hsa801
2906,CALM2|805,805,CALM2,hsa805
2907,CALM3|808,808,CALM3,hsa808
2908,CALML3|810,810,CALML3,hsa810
2909,CALML4|91860,91860,CALML4,hsa91860
2910,CALML5|51806,51806,CALML5,hsa51806
2911,CALML6|163688,163688,CALML6,hsa163688
2912,CALN1|83698,83698,CALN1,hsa83698
2913,CALR3|125972,125972,CALR3,hsa125972
2914,CALR|811,811,CALR,hsa811
2915,CALU|813,813,CALU,hsa813
2916,CALY|50632,50632,CALY,hsa50632
2917,CAMK1|8536,8536,CAMK1,hsa8536
2918,CAMK1D|57118,57118,CAMK1D,hsa57118
2919,CAMK1G|57172,57172,CAMK1G,hsa57172
2920,CAMK2A|815,815,CAMK2A,hsa815
2921,CAMK2B|816,816,CAMK2B,hsa816
2922,CAMK2D|817,817,CAMK2D,hsa817
2923,CAMK2G|818,818,CAMK2G,hsa818
2924,CAMK2N1|55450,55450,CAMK2N1,hsa55450
2925,CAMK2N2|94032,94032,CAMK2N2,hsa94032
2926,CAMK4|814,814,CAMK4,hsa814
2927,CAMKK1|84254,84254,CAMKK1,hsa84254
2928,CAMKK2|10645,10645,CAMKK2,hsa10645
2929,CAMKV|79012,79012,CAMKV,hsa79012
2930,CAMLG|819,819,CAMLG,hsa819
2931,CAMP|820,820,CAMP,hsa820
2932,CAMSAP1|157922,157922,CAMSAP1,hsa157922
2933,CAMSAP1L1|23271,23271,CAMSAP1L1,hsa23271
2934,CAMTA1|23261,23261,CAMTA1,hsa23261
2935,CAMTA2|23125,23125,CAMTA2,hsa23125
2936,CAND1|55832,55832,CAND1,hsa55832
2937,CAND2|23066,23066,CAND2,hsa23066
2938,CANT1|124583,124583,CANT1,hsa124583
2939,CANX|821,821,CANX,hsa821
2940,CAP1|10487,10487,CAP1,hsa10487
2941,CAP2|10486,10486,CAP2,hsa10486
2942,CAPG|822,822,CAPG,hsa822
2943,CAPN10|11132,11132,CAPN10,hsa11132
2944,CAPN11|11131,11131,CAPN11,hsa11131
2945,CAPN12|147968,147968,CAPN12,hsa147968
2946,CAPN13|92291,92291,CAPN13,hsa92291
2947,CAPN14|440854,440854,CAPN14,hsa440854
2948,CAPN1|823,823,CAPN1,hsa823
2949,CAPN2|824,824,CAPN2,hsa824
2950,CAPN3|825,825,CAPN3,hsa825
2951,CAPN5|726,726,CAPN5,hsa726
2952,CAPN6|827,827,CAPN6,hsa827
2953,CAPN7|23473,23473,CAPN7,hsa23473
2954,CAPN8|388743,388743,CAPN8,hsa388743
2955,CAPN9|10753,10753,CAPN9,hsa10753
2956,CAPNS1|826,826,CAPNS1,hsa826
2957,CAPNS2|84290,84290,CAPNS2,hsa84290
2958,CAPRIN1|4076,4076,CAPRIN1,hsa4076
2959,CAPRIN2|65981,65981,CAPRIN2,hsa65981
2960,CAPS2|84698,84698,CAPS2,hsa84698
2961,CAPS|828,828,CAPS,hsa828
2962,CAPSL|133690,133690,CAPSL,hsa133690
2963,CAPZA1|829,829,CAPZA1,hsa829
2964,CAPZA2|830,830,CAPZA2,hsa830
2965,CAPZA3|93661,93661,CAPZA3,hsa93661
2966,CAPZB|832,832,CAPZB,hsa832
2967,CARD10|29775,29775,CARD10,hsa29775
2968,CARD11|84433,84433,CARD11,hsa84433
2969,CARD14|79092,79092,CARD14,hsa79092
2970,CARD16|114769,114769,CARD16,hsa114769
2971,CARD17|440068,440068,CARD17,hsa440068
2972,CARD18|59082,59082,CARD18,hsa59082
2973,CARD6|84674,84674,CARD6,hsa84674
2974,CARD8|22900,22900,CARD8,hsa22900
2975,CARD9|64170,64170,CARD9,hsa64170
2976,CARHSP1|23589,23589,CARHSP1,hsa23589
2977,CARKD|55739,55739,CARKD,hsa55739
2978,CARM1|10498,10498,CARM1,hsa10498
2979,CARNS1|57571,57571,CARNS1,hsa57571
2980,CARS2|79587,79587,CARS2,hsa79587
2981,CARS|833,833,CARS,hsa833
2982,CARTPT|9607,9607,CARTPT,hsa9607
2983,CASC1|55259,55259,CASC1,hsa55259
2984,CASC2|255082,255082,CASC2,hsa255082
2985,CASC3|22794,22794,CASC3,hsa22794
2986,CASC4|113201,113201,CASC4,hsa113201
2987,CASC5|57082,57082,CASC5,hsa57082
2988,CASD1|64921,64921,CASD1,hsa64921
2989,CASK|8573,8573,CASK,hsa8573
2990,CASKIN1|57524,57524,CASKIN1,hsa57524
2991,CASKIN2|57513,57513,CASKIN2,hsa57513
2992,CASP10|843,843,CASP10,hsa843
2993,CASP12|120329,120329,CASP12,hsa120329
2994,CASP14|23581,23581,CASP14,hsa23581
2995,CASP1|834,834,CASP1,hsa834
2996,CASP2|835,835,CASP2,hsa835
2997,CASP3|836,836,CASP3,hsa836
2998,CASP4|837,837,CASP4,hsa837
2999,CASP5|838,838,CASP5,hsa838
3000,CASP6|839,839,CASP6,hsa839
3001,CASP7|840,840,CASP7,hsa840
3002,CASP8|841,841,CASP8,hsa841
3003,CASP8AP2|9994,9994,CASP8AP2,hsa9994
3004,CASP9|842,842,CASP9,hsa842
3005,CASQ1|844,844,CASQ1,hsa844
3006,CASQ2|845,845,CASQ2,hsa845
3007,CASR|846,846,CASR,hsa846
3008,CASS4|57091,57091,CASS4,hsa57091
3009,CAST|831,831,CAST,hsa831
3010,CASZ1|54897,54897,CASZ1,hsa54897
3011,CAT|847,847,CAT,hsa847
3012,CATSPER1|117144,117144,CATSPER1,hsa117144
3013,CATSPER2|117155,117155,CATSPER2,hsa117155
3014,CATSPER2P1|440278,440278,CATSPER2P1,hsa440278
3015,CATSPER3|347732,347732,CATSPER3,hsa347732
3016,CATSPER4|378807,378807,CATSPER4,hsa378807
3017,CATSPERB|79820,79820,CATSPERB,hsa79820
3018,CATSPERG|57828,57828,CATSPERG,hsa57828
3019,CAV1|857,857,CAV1,hsa857
3020,CAV2|858,858,CAV2,hsa858
3021,CAV3|859,859,CAV3,hsa859
3022,CBARA1|10367,10367,CBARA1,hsa10367
3023,CBFA2T2|9139,9139,CBFA2T2,hsa9139
3024,CBFA2T3|863,863,CBFA2T3,hsa863
3025,CBFB|865,865,CBFB,hsa865
3026,CBL|867,867,CBL,hsa867
3027,CBLB|868,868,CBLB,hsa868
3028,CBLC|23624,23624,CBLC,hsa23624
3029,CBLL1|79872,79872,CBLL1,hsa79872
3030,CBLN1|869,869,CBLN1,hsa869
3031,CBLN2|147381,147381,CBLN2,hsa147381
3032,CBLN3|643866,643866,CBLN3,hsa643866
3033,CBLN4|140689,140689,CBLN4,hsa140689
3034,CBR1|873,873,CBR1,hsa873
3035,CBR3|874,874,CBR3,hsa874
3036,CBR4|84869,84869,CBR4,hsa84869
3037,CBS|875,875,CBS,hsa875
3038,CBWD1|55871,55871,CBWD1,hsa55871
3039,CBWD2|150472,150472,CBWD2,hsa150472
3040,CBWD3|445571,445571,CBWD3,hsa445571
3041,CBWD5|220869,220869,CBWD5,hsa220869
3042,CBWD6|644019,644019,CBWD6,hsa644019
3043,CBX1|10951,10951,CBX1,hsa10951
3044,CBX2|84733,84733,CBX2,hsa84733
3045,CBX3|11335,11335,CBX3,hsa11335
3046,CBX4|8535,8535,CBX4,hsa8535
3047,CBX5|23468,23468,CBX5,hsa23468
3048,CBX6|23466,23466,CBX6,hsa23466
3049,CBX7|23492,23492,CBX7,hsa23492
3050,CBX8|57332,57332,CBX8,hsa57332
3051,CBY1|25776,25776,CBY1,hsa25776
3052,CC2D1A|54862,54862,CC2D1A,hsa54862
3053,CC2D1B|200014,200014,CC2D1B,hsa200014
3054,CC2D2A|57545,57545,CC2D2A,hsa57545
3055,CC2D2B|387707,387707,CC2D2B,hsa387707
3056,CCAR1|55749,55749,CCAR1,hsa55749
3057,CCBE1|147372,147372,CCBE1,hsa147372
3058,CCBL1|883,883,CCBL1,hsa883
3059,CCBL2|56267,56267,CCBL2,hsa56267
3060,CCBP2|1238,1238,CCBP2,hsa1238
3061,CCDC101|112869,112869,CCDC101,hsa112869
3062,CCDC102A|92922,92922,CCDC102A,hsa92922
3063,CCDC102B|79839,79839,CCDC102B,hsa79839
3064,CCDC103|388389,388389,CCDC103,hsa388389
3065,CCDC104|112942,112942,CCDC104,hsa112942
3066,CCDC105|126402,126402,CCDC105,hsa126402
3067,CCDC106|29903,29903,CCDC106,hsa29903
3068,CCDC107|203260,203260,CCDC107,hsa203260
3069,CCDC108|255101,255101,CCDC108,hsa255101
3070,CCDC109A|90550,90550,CCDC109A,hsa90550
3071,CCDC109B|55013,55013,CCDC109B,hsa55013
3072,CCDC110|256309,256309,CCDC110,hsa256309
3073,CCDC111|201973,201973,CCDC111,hsa201973
3074,CCDC112|153733,153733,CCDC112,hsa153733
3075,CCDC11|220136,220136,CCDC11,hsa220136
3076,CCDC113|29070,29070,CCDC113,hsa29070
3077,CCDC114|93233,93233,CCDC114,hsa93233
3078,CCDC115|84317,84317,CCDC115,hsa84317
3079,CCDC116|164592,164592,CCDC116,hsa164592
3080,CCDC117|150275,150275,CCDC117,hsa150275
3081,CCDC120|90060,90060,CCDC120,hsa90060
3082,CCDC12|151903,151903,CCDC12,hsa151903
3083,CCDC121|79635,79635,CCDC121,hsa79635
3084,CCDC122|160857,160857,CCDC122,hsa160857
3085,CCDC123|84902,84902,CCDC123,hsa84902
3086,CCDC124|115098,115098,CCDC124,hsa115098
3087,CCDC125|202243,202243,CCDC125,hsa202243
3088,CCDC126|90693,90693,CCDC126,hsa90693
3089,CCDC127|133957,133957,CCDC127,hsa133957
3090,CCDC129|223075,223075,CCDC129,hsa223075
3091,CCDC130|81576,81576,CCDC130,hsa81576
3092,CCDC13|152206,152206,CCDC13,hsa152206
3093,CCDC132|55610,55610,CCDC132,hsa55610
3094,CCDC134|79879,79879,CCDC134,hsa79879
3095,CCDC135|84229,84229,CCDC135,hsa84229
3096,CCDC136|64753,64753,CCDC136,hsa64753
3097,CCDC137|339230,339230,CCDC137,hsa339230
3098,CCDC138|165055,165055,CCDC138,hsa165055
3099,CCDC140|151278,151278,CCDC140,hsa151278
3100,CCDC141|285025,285025,CCDC141,hsa285025
3101,CCDC142|84865,84865,CCDC142,hsa84865
3102,CCDC144A|9720,9720,CCDC144A,hsa9720
3103,CCDC144B|284047,284047,CCDC144B,hsa284047
3104,CCDC144C|348254,348254,CCDC144C,hsa348254
3105,CCDC144NL|339184,339184,CCDC144NL,hsa339184
3106,CCDC14|64770,64770,CCDC14,hsa64770
3107,CCDC146|57639,57639,CCDC146,hsa57639
3108,CCDC147|159686,159686,CCDC147,hsa159686
3109,CCDC148|130940,130940,CCDC148,hsa130940
3110,CCDC149|91050,91050,CCDC149,hsa91050
3111,CCDC150|284992,284992,CCDC150,hsa284992
3112,CCDC151|115948,115948,CCDC151,hsa115948
3113,CCDC152|100129792,100129792,CCDC152,hsa100129792
3114,CCDC153|283152,283152,CCDC153,hsa283152
3115,CCDC154|645811,645811,CCDC154,hsa645811
3116,CCDC155|147872,147872,CCDC155,hsa147872
3117,CCDC157|550631,550631,CCDC157,hsa550631
3118,CCDC15|80071,80071,CCDC15,hsa80071
3119,CCDC158|339965,339965,CCDC158,hsa339965
3120,CCDC159|126075,126075,CCDC159,hsa126075
3121,CCDC160|347475,347475,CCDC160,hsa347475
3122,CCDC163P|126661,126661,CCDC163P,hsa126661
3123,CCDC17|149483,149483,CCDC17,hsa149483
3124,CCDC18|343099,343099,CCDC18,hsa343099
3125,CCDC19|25790,25790,CCDC19,hsa25790
3126,CCDC21|64793,64793,CCDC21,hsa64793
3127,CCDC22|28952,28952,CCDC22,hsa28952
3128,CCDC23|374969,374969,CCDC23,hsa374969
3129,CCDC24|149473,149473,CCDC24,hsa149473
3130,CCDC25|55246,55246,CCDC25,hsa55246
3131,CCDC27|148870,148870,CCDC27,hsa148870
3132,CCDC28A|25901,25901,CCDC28A,hsa25901
3133,CCDC28B|79140,79140,CCDC28B,hsa79140
3134,CCDC30|728621,728621,CCDC30,hsa728621
3135,CCDC33|80125,80125,CCDC33,hsa80125
3136,CCDC34|91057,91057,CCDC34,hsa91057
3137,CCDC36|339834,339834,CCDC36,hsa339834
3138,CCDC37|348807,348807,CCDC37,hsa348807
3139,CCDC38|120935,120935,CCDC38,hsa120935
3140,CCDC3|83643,83643,CCDC3,hsa83643
3141,CCDC39|339829,339829,CCDC39,hsa339829
3142,CCDC40|55036,55036,CCDC40,hsa55036
3143,CCDC41|51134,51134,CCDC41,hsa51134
3144,CCDC42|146849,146849,CCDC42,hsa146849
3145,CCDC42B|387885,387885,CCDC42B,hsa387885
3146,CCDC43|124808,124808,CCDC43,hsa124808
3147,CCDC45|90799,90799,CCDC45,hsa90799
3148,CCDC46|201134,201134,CCDC46,hsa201134
3149,CCDC47|57003,57003,CCDC47,hsa57003
3150,CCDC48|79825,79825,CCDC48,hsa79825
3151,CCDC50|152137,152137,CCDC50,hsa152137
3152,CCDC51|79714,79714,CCDC51,hsa79714
3153,CCDC52|152185,152185,CCDC52,hsa152185
3154,CCDC53|51019,51019,CCDC53,hsa51019
3155,CCDC54|84692,84692,CCDC54,hsa84692
3156,CCDC55|84081,84081,CCDC55,hsa84081
