original,entrez,symbol,kegg
134,ABP1|26,26,ABP1,hsa26
135,ABR|29,29,ABR,hsa29
136,ABRA|137735,137735,ABRA,hsa137735
137,ABT1|29777,29777,ABT1,hsa29777
138,ABTB1|80325,80325,ABTB1,hsa80325
139,ABTB2|25841,25841,ABTB2,hsa25841
140,ACAA1|30,30,ACAA1,hsa30
141,ACAA2|10449,10449,ACAA2,hsa10449
142,ACACA|31,31,ACACA,hsa31
143,ACACB|32,32,ACACB,hsa32
144,ACAD10|80724,80724,ACAD10,hsa80724
145,ACAD11|84129,84129,ACAD11,hsa84129
146,ACAD8|27034,27034,ACAD8,hsa27034
147,ACAD9|28976,28976,ACAD9,hsa28976
148,ACADL|33,33,ACADL,hsa33
149,ACADM|34,34,ACADM,hsa34
150,ACADS|35,35,ACADS,hsa35
151,ACADSB|36,36,ACADSB,hsa36
152,ACADVL|37,37,ACADVL,hsa37
153,ACAN|176,176,ACAN,hsa176
154,ACAP1|9744,9744,ACAP1,hsa9744
155,ACAP2|23527,23527,ACAP2,hsa23527
156,ACAP3|116983,116983,ACAP3,hsa116983
157,ACAT1|38,38,ACAT1,hsa38
158,ACAT2|39,39,ACAT2,hsa39
159,ACBD3|64746,64746,ACBD3,hsa64746
160,ACBD4|79777,79777,ACBD4,hsa79777
161,ACBD5|91452,91452,ACBD5,hsa91452
162,ACBD6|84320,84320,ACBD6,hsa84320
163,ACBD7|414149,414149,ACBD7,hsa414149
164,ACCN1|40,40,ACCN1,hsa40
165,ACCN2|41,41,ACCN2,hsa41
166,ACCN3|9311,9311,ACCN3,hsa9311
167,ACCN4|55515,55515,ACCN4,hsa55515
168,ACCN5|51802,51802,ACCN5,hsa51802
169,ACCS|84680,84680,ACCS,hsa84680
170,ACCSL|390110,390110,ACCSL,hsa390110
171,ACD|65057,65057,ACD,hsa65057
172,ACE|1636,1636,ACE,hsa1636
173,ACE2|59272,59272,ACE2,hsa59272
174,ACER1|125981,125981,ACER1,hsa125981
175,ACER2|340485,340485,ACER2,hsa340485
176,ACER3|55331,55331,ACER3,hsa55331
177,ACHE|43,43,ACHE,hsa43
178,ACIN1|22985,22985,ACIN1,hsa22985
179,ACLY|47,47,ACLY,hsa47
180,ACMSD|130013,130013,ACMSD,hsa130013
181,ACN9|57001,57001,ACN9,hsa57001
182,ACO1|48,48,ACO1,hsa48
183,ACO2|50,50,ACO2,hsa50
184,ACOT11|26027,26027,ACOT11,hsa26027
185,ACOT12|134526,134526,ACOT12,hsa134526
